n,total_us,read_us,valid_us,stable_us
1,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000
32,647.300000,647.300000,0.000000,0.000000
64,3591.700000,3591.700000,0.000000,0.000000
128,11151.600000,10165.700000,0.000000,0.000000
256,40514.000000,39503.000000,0.000000,1011.000000
512,133576.100000,128060.400000,0.000000,5515.700000
